[setup] CRUJRA climate from data/crujra/, GPP from global_baseline_modelC_inputs_1997-2016.nc ...
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[setup] GFED5 land-mean monthly frac: 0.005068
[opt] warm-start from C.json
[warm] Overall=0.5988  bias=0.6792 rmse=0.3680 seas=0.8286 spatial=0.7500
[opt] sampler=NSGAIISampler seed=42
[32m[I 2026-07-18 18:48:03,433][0m A new study created in memory with name: no-name-b46206f1-31c2-4212-9fbc-3cf577d4654c[0m
[opt] running 2500 trials against GFED5 ...
[32m[I 2026-07-18 18:48:03,886][0m Trial 0 finished with values: [-0.7246857154436261, 0.053725735164132815] and parameters: {'k1': 0.03635503353478365, 'D_low': 70.18267183720735, 'k2': 0.012758211164590085, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212, 'trop_agb_crit': 3.5747129226002423, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:34,425][0m Trial 832 finished with values: [-0.29664092420062665, 0.04381212166393322] and parameters: {'k1': 0.01889771394135163, 'D_low': 70.18267183720735, 'k2': 0.00012492307509390826, 'D_high': 1578.0309954142967, 'fire_exp': 1.450870712623418, 'P_half': 12.808863354047988, 'pre_dampen_half': 241.6951931920675, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 1.0484531351650956, 'ign_c': 20.03995359361212, 'trop_agb_crit': 2.1861040860339416, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:54:34,902][0m Trial 833 finished with values: [-0.01631813332394973, 0.0038049261052186534] and parameters: {'k1': 0.004312951023617458, 'D_low': 7.299348683062307, 'k2': 0.0012040762895973265, 'D_high': 3712.591045287733, 'fire_exp': 2.61565689708108, 'P_half': 1.2432381951316052, 'pre_dampen_half': 20.379613777174647, 'gpp_af': 0.10409127568994281, 'gpp_b': 1.598364670380439e-05, 'gpp_d': 8.057329182285729, 'ign_k': 5.351470428717439, 'ign_c': 30.28574109895626, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 2.587938629755798}.[0m
[32m[I 2026-07-18 18:54:35,385][0m Trial 834 finished with values: [-9.835543181285954e-07, 5.821038717934712e-06] and parameters: {'k1': 0.0699458988153545, 'D_low': 170.2682488483631, 'k2': 0.0005342937261279771, 'D_high': 3712.591045287733, 'fire_exp': 6.234638880169447, 'P_half': 310.3604223881657, 'pre_dampen_half': 0.1875872314533727, 'gpp_af': 4.500414872181383, 'gpp_b': 0.00012379625135997558, 'gpp_d': 757.2868182332339, 'ign_k': 2.396079612430075, 'ign_c': 30.28574109895626, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:35,848][0m Trial 835 finished with values: [-0.0010400601674837404, 9.17778094867705e-05] and parameters: {'k1': 0.04541457206426161, 'D_low': 72.58091671308688, 'k2': 0.032845299795769396, 'D_high': 3712.591045287733, 'fire_exp': 1.6733848721157607, 'P_half': 1.7400806211046378, 'pre_dampen_half': 0.010585220389440335, 'gpp_af': 0.01719951378854337, 'gpp_b': 0.00012379625135997558, 'gpp_d': 21.14381609520636, 'ign_k': 1.0484531351650956, 'ign_c': 29.690870944846793, 'trop_agb_crit': 2.1861040860339416, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:36,314][0m Trial 836 finished with values: [-0.0001569706540338806, 6.754677879916571e-06] and parameters: {'k1': 0.011966626407443505, 'D_low': 177.4954658911452, 'k2': 0.032845299795769396, 'D_high': 2940.51756322311, 'fire_exp': 1.423480109671474, 'P_half': 12.808863354047988, 'pre_dampen_half': 0.011501973785501987, 'gpp_af': 61.39406964482352, 'gpp_b': 3.083723329640505, 'gpp_d': 64.20268021730274, 'ign_k': 8.708806168038567, 'ign_c': 30.28574109895626, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 3.1473758868965485}.[0m
[32m[I 2026-07-18 18:54:36,791][0m Trial 837 finished with values: [-3.612070482152669e-05, 0.00014539215600650746] and parameters: {'k1': 5.025876001070713e-05, 'D_low': 7.299348683062307, 'k2': 0.0012040762895973265, 'D_high': 29812.370697208808, 'fire_exp': 2.907328086166187, 'P_half': 9.324787201197319, 'pre_dampen_half': 0.1875872314533727, 'gpp_af': 0.2901272149738624, 'gpp_b': 0.0005623095666134974, 'gpp_d': 8.057329182285729, 'ign_k': 0.6024590664672947, 'ign_c': 30.28574109895626, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 2.587938629755798}.[0m
[32m[I 2026-07-18 18:54:37,296][0m Trial 838 finished with values: [-4.457508095026148e-05, 2.0100894859154117e-05] and parameters: {'k1': 0.01889771394135163, 'D_low': 7.299348683062307, 'k2': 0.0005342937261279771, 'D_high': 2940.51756322311, 'fire_exp': 6.234638880169447, 'P_half': 97.0660675687761, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.2901272149738624, 'gpp_b': 0.0005752434266899163, 'gpp_d': 64.20268021730274, 'ign_k': 2.396079612430075, 'ign_c': 30.28574109895626, 'trop_agb_crit': 3.5747129226002423, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:37,780][0m Trial 839 finished with values: [-2.0000000000000005e-60, 0.0] and parameters: {'k1': 0.007530210437963516, 'D_low': 4.484744524732794, 'k2': 0.032845299795769396, 'D_high': 2940.51756322311, 'fire_exp': 1.6733848721157607, 'P_half': 1.895375973243287, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.001111693990724459, 'gpp_b': 0.0005752434266899163, 'gpp_d': 21.14381609520636, 'ign_k': 8.708806168038567, 'ign_c': 57.546585925920674, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 3.49157152291552}.[0m
[32m[I 2026-07-18 18:54:38,252][0m Trial 840 finished with values: [-0.33166527402095075, 0.02570723459155333] and parameters: {'k1': 0.01889771394135163, 'D_low': 70.18267183720735, 'k2': 0.00012492307509390826, 'D_high': 2940.51756322311, 'fire_exp': 1.450870712623418, 'P_half': 97.0660675687761, 'pre_dampen_half': 241.6951931920675, 'gpp_af': 0.001111693990724459, 'gpp_b': 1.598364670380439e-05, 'gpp_d': 64.20268021730274, 'ign_k': 5.351470428717439, 'ign_c': 20.03995359361212, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:38,735][0m Trial 841 finished with values: [-0.03313484351568348, 0.0015577914244822022] and parameters: {'k1': 0.07799059237255677, 'D_low': 7.46475488144212, 'k2': 0.0005342937261279771, 'D_high': 8182.111518618414, 'fire_exp': 1.423480109671474, 'P_half': 175.2878790340412, 'pre_dampen_half': 0.08049089337224259, 'gpp_af': 0.2901272149738624, 'gpp_b': 0.01666658176842624, 'gpp_d': 25.444227489578886, 'ign_k': 2.396079612430075, 'ign_c': 0.5342106255632174, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:39,214][0m Trial 842 finished with values: [-0.04466770961521543, 0.0012513125146430548] and parameters: {'k1': 0.041833856821460395, 'D_low': 70.18267183720735, 'k2': 0.026471946255259393, 'D_high': 3712.591045287733, 'fire_exp': 1.423480109671474, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.5682966065442919, 'gpp_af': 0.001111693990724459, 'gpp_b': 0.0001605469768042801, 'gpp_d': 229.41380323183625, 'ign_k': 0.48986208235548445, 'ign_c': 15.221840161091619, 'trop_agb_crit': 24.584290528289387, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:39,697][0m Trial 843 finished with values: [-0.00019898001304337283, 0.00010256363499971943] and parameters: {'k1': 0.041833856821460395, 'D_low': 70.18267183720735, 'k2': 0.026471946255259393, 'D_high': 3712.591045287733, 'fire_exp': 1.423480109671474, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.5682966065442919, 'gpp_af': 0.001111693990724459, 'gpp_b': 0.006906522645653115, 'gpp_d': 229.41380323183625, 'ign_k': 0.48986208235548445, 'ign_c': 0.5342106255632174, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:54:40,172][0m Trial 844 finished with values: [-0.00042640228894767063, 7.357713746225514e-05] and parameters: {'k1': 0.041833856821460395, 'D_low': 7.46475488144212, 'k2': 0.032845299795769396, 'D_high': 15351.441568398131, 'fire_exp': 1.450870712623418, 'P_half': 9.324787201197319, 'pre_dampen_half': 0.03751320096826995, 'gpp_af': 0.00515795696727661, 'gpp_b': 0.01666658176842624, 'gpp_d': 431.6907311305208, 'ign_k': 0.6024590664672947, 'ign_c': 5.130551760589832, 'trop_agb_crit': 1.7708319837489073, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:40,640][0m Trial 845 finished with values: [-9.170123235074588e-05, 0.0007033754762264532] and parameters: {'k1': 0.01889771394135163, 'D_low': 7.46475488144212, 'k2': 0.032845299795769396, 'D_high': 81.71825567718653, 'fire_exp': 1.450870712623418, 'P_half': 9.324787201197319, 'pre_dampen_half': 0.03751320096826995, 'gpp_af': 0.4776815004752162, 'gpp_b': 0.0005623095666134974, 'gpp_d': 8.571213555597648, 'ign_k': 0.6024590664672947, 'ign_c': 0.24361599465623282, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 2.587938629755798}.[0m
[32m[I 2026-07-18 18:54:41,137][0m Trial 846 finished with values: [-1.953346569856544e-06, 7.410667530183268e-06] and parameters: {'k1': 0.041833856821460395, 'D_low': 1.9977959434035766, 'k2': 0.00035868164986275477, 'D_high': 633.1166646948959, 'fire_exp': 6.234638880169447, 'P_half': 175.2878790340412, 'pre_dampen_half': 0.08049089337224259, 'gpp_af': 6.036937010984853, 'gpp_b': 0.006906522645653115, 'gpp_d': 431.6907311305208, 'ign_k': 0.6024590664672947, 'ign_c': 0.5342106255632174, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:54:41,615][0m Trial 847 finished with values: [-0.06299719990273923, 0.004494621346634586] and parameters: {'k1': 0.01889771394135163, 'D_low': 1.864018654712297, 'k2': 0.00035868164986275477, 'D_high': 8182.111518618414, 'fire_exp': 1.6733848721157607, 'P_half': 24.563265188276052, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.01719951378854337, 'gpp_b': 0.0005623095666134974, 'gpp_d': 6.283500537123675, 'ign_k': 0.6024590664672947, 'ign_c': 5.130551760589832, 'trop_agb_crit': 7.599113148200974, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:42,073][0m Trial 848 finished with values: [-6.737059861268625e-06, 1.0263505623164804e-06] and parameters: {'k1': 0.007530210437963516, 'D_low': 70.18267183720735, 'k2': 0.032845299795769396, 'D_high': 45914.85216740541, 'fire_exp': 5.311995034756393, 'P_half': 712.8188058401365, 'pre_dampen_half': 0.03751320096826995, 'gpp_af': 0.001111693990724459, 'gpp_b': 0.0005752434266899163, 'gpp_d': 8.057329182285729, 'ign_k': 5.351470428717439, 'ign_c': 5.130551760589832, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:42,531][0m Trial 849 finished with values: [-0.017672211667024974, 0.0012339463844337484] and parameters: {'k1': 0.041833856821460395, 'D_low': 70.18267183720735, 'k2': 0.001362731161143793, 'D_high': 2940.51756322311, 'fire_exp': 4.622870465147425, 'P_half': 234.09994646132157, 'pre_dampen_half': 0.9166964238460101, 'gpp_af': 9.48964145636832, 'gpp_b': 0.00431329787498825, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 1.6051347487097574, 'trop_agb_crit': 12.71480504859747, 'trop_k_veg': 4.4644194212034}.[0m
[32m[I 2026-07-18 18:54:43,018][0m Trial 850 finished with values: [-0.0002657878959442007, 5.2377134307501905e-06] and parameters: {'k1': 0.041833856821460395, 'D_low': 7.299348683062307, 'k2': 0.032845299795769396, 'D_high': 1236.6924205139144, 'fire_exp': 8.456250107826923, 'P_half': 220.3445560633069, 'pre_dampen_half': 241.6951931920675, 'gpp_af': 0.10409127568994281, 'gpp_b': 0.00431329787498825, 'gpp_d': 8.057329182285729, 'ign_k': 5.351470428717439, 'ign_c': 29.690870944846793, 'trop_agb_crit': 2.2212365258224223, 'trop_k_veg': 4.4644194212034}.[0m
[32m[I 2026-07-18 18:54:43,505][0m Trial 851 finished with values: [-1.8415785939963073e-05, 1.4267987087368539e-06] and parameters: {'k1': 0.007530210437963516, 'D_low': 70.18267183720735, 'k2': 0.00035868164986275477, 'D_high': 774.2116473996249, 'fire_exp': 1.471022163879199, 'P_half': 323.6099399575106, 'pre_dampen_half': 0.9921551226341596, 'gpp_af': 0.0038793182938363898, 'gpp_b': 0.0005744663972188569, 'gpp_d': 2.944272359149678, 'ign_k': 5.351470428717439, 'ign_c': 30.28574109895626, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 2.144518162606203}.[0m
[32m[I 2026-07-18 18:54:43,992][0m Trial 852 finished with values: [-0.0018412429291612025, 5.388590801302939e-05] and parameters: {'k1': 0.04541457206426161, 'D_low': 70.18267183720735, 'k2': 0.00035868164986275477, 'D_high': 45914.85216740541, 'fire_exp': 6.234638880169447, 'P_half': 175.2878790340412, 'pre_dampen_half': 0.011501973785501987, 'gpp_af': 0.2901272149738624, 'gpp_b': 0.006906522645653115, 'gpp_d': 25.444227489578886, 'ign_k': 5.351470428717439, 'ign_c': 0.5342106255632174, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:54:44,455][0m Trial 853 finished with values: [-0.6062062616310997, 0.04629215242765139] and parameters: {'k1': 0.01889771394135163, 'D_low': 70.18267183720735, 'k2': 0.032845299795769396, 'D_high': 2940.51756322311, 'fire_exp': 1.450870712623418, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 1.0484531351650956, 'ign_c': 20.03995359361212, 'trop_agb_crit': 2.1861040860339416, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:54:44,910][0m Trial 854 finished with values: [-0.24071967818648435, 0.020022576204203446] and parameters: {'k1': 0.041833856821460395, 'D_low': 70.18267183720735, 'k2': 0.032845299795769396, 'D_high': 1236.6924205139144, 'fire_exp': 1.423480109671474, 'P_half': 4.070652723469727, 'pre_dampen_half': 3.3841016089580047, 'gpp_af': 0.001111693990724459, 'gpp_b': 1.598364670380439e-05, 'gpp_d': 0.23073846740741236, 'ign_k': 5.351470428717439, 'ign_c': 5.130551760589832, 'trop_agb_crit': 12.71480504859747, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:45,366][0m Trial 855 finished with values: [-2.0000000000000005e-60, 0.0] and parameters: {'k1': 0.01889771394135163, 'D_low': 9331.125028918148, 'k2': 0.032845299795769396, 'D_high': 2940.51756322311, 'fire_exp': 5.311995034756393, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.3938210761039573, 'gpp_b': 0.0005752434266899163, 'gpp_d': 21.14381609520636, 'ign_k': 5.351470428717439, 'ign_c': 20.03995359361212, 'trop_agb_crit': 1.6079844205915728, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:54:45,826][0m Trial 856 finished with values: [-2.0000000000000005e-60, 0.0] and parameters: {'k1': 0.04541457206426161, 'D_low': 31.585104499227995, 'k2': 0.00035868164986275477, 'D_high': 61536.58035691659, 'fire_exp': 1.423480109671474, 'P_half': 175.2878790340412, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.001111693990724459, 'gpp_b': 1.598364670380439e-05, 'gpp_d': 150.14555442537656, 'ign_k': 5.351470428717439, 'ign_c': 510.50955110295183, 'trop_agb_crit': 1.6878075072665546, 'trop_k_veg': 0.902411054575325}.[0m
[32m[I 2026-07-18 18:54:46,280][0m Trial 857 finished with values: [-4.829771288044799e-06, 7.419099152805586e-07] and parameters: {'k1': 0.007530210437963516, 'D_low': 70.18267183720735, 'k2': 0.001362731161143793, 'D_high': 8559.572793311803, 'fire_exp': 3.4670262533916887, 'P_half': 234.09994646132157, 'pre_dampen_half': 162.24318817519642, 'gpp_af': 0.001111693990724459, 'gpp_b': 0.0005623095666134974, 'gpp_d': 660.9129108295722, 'ign_k': 0.6024590664672947, 'ign_c': 29.690870944846793, 'trop_agb_crit': 1.6878075072665546, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:46,739][0m Trial 858 finished with values: [-0.022218202103369673, 0.006441075504854288] and parameters: {'k1': 0.01889771394135163, 'D_low': 70.18267183720735, 'k2': 0.032845299795769396, 'D_high': 2940.51756322311, 'fire_exp': 1.6733848721157607, 'P_half': 3554.812765190894, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.01719951378854337, 'gpp_b': 0.0005623095666134974, 'gpp_d': 64.20268021730274, 'ign_k': 0.6024590664672947, 'ign_c': 12.129193069150809, 'trop_agb_crit': 3.5747129226002423, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:47,203][0m Trial 859 finished with values: [-0.021440481904080582, 0.006212339360123775] and parameters: {'k1': 0.007530210437963516, 'D_low': 7.46475488144212, 'k2': 0.0005342937261279771, 'D_high': 8559.572793311803, 'fire_exp': 1.423480109671474, 'P_half': 712.8188058401365, 'pre_dampen_half': 0.011501973785501987, 'gpp_af': 1.3119837017732532, 'gpp_b': 3.425678426646209e-05, 'gpp_d': 2.944272359149678, 'ign_k': 5.351470428717439, 'ign_c': 0.5342106255632174, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:47,675][0m Trial 860 finished with values: [-0.007367551621752851, 0.00022534989119193938] and parameters: {'k1': 0.07799059237255677, 'D_low': 70.18267183720735, 'k2': 0.0012040762895973265, 'D_high': 8559.572793311803, 'fire_exp': 1.423480109671474, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.010585220389440335, 'gpp_af': 0.7539992074650282, 'gpp_b': 0.34011244465350415, 'gpp_d': 21.14381609520636, 'ign_k': 5.351470428717439, 'ign_c': 5.130551760589832, 'trop_agb_crit': 1.6878075072665546, 'trop_k_veg': 2.587938629755798}.[0m
[32m[I 2026-07-18 18:54:48,137][0m Trial 861 finished with values: [-0.0013949404644876238, 0.000136946426315121] and parameters: {'k1': 0.01889771394135163, 'D_low': 70.18267183720735, 'k2': 0.0353875886477924, 'D_high': 1662.6592254031873, 'fire_exp': 1.6733848721157607, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.0022961065892443786, 'gpp_b': 0.0005752434266899163, 'gpp_d': 21.14381609520636, 'ign_k': 0.0032423055114836233, 'ign_c': 0.891613269954689, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:48,600][0m Trial 862 finished with values: [-0.048471580851009326, 0.0036366883290683827] and parameters: {'k1': 0.0699458988153545, 'D_low': 70.18267183720735, 'k2': 0.032845299795769396, 'D_high': 60107.420288647445, 'fire_exp': 1.450870712623418, 'P_half': 323.6099399575106, 'pre_dampen_half': 0.1875872314533727, 'gpp_af': 0.2901272149738624, 'gpp_b': 0.00431329787498825, 'gpp_d': 21.14381609520636, 'ign_k': 2.396079612430075, 'ign_c': 1.6051347487097574, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 4.4644194212034}.[0m
[32m[I 2026-07-18 18:54:49,056][0m Trial 863 finished with values: [-0.008303841175499633, 0.0003127081295920542] and parameters: {'k1': 0.01889771394135163, 'D_low': 1.9977959434035766, 'k2': 0.032845299795769396, 'D_high': 2940.51756322311, 'fire_exp': 1.6733848721157607, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.7539992074650282, 'gpp_b': 0.42247700890263673, 'gpp_d': 150.14555442537656, 'ign_k': 5.351470428717439, 'ign_c': 0.5342106255632174, 'trop_agb_crit': 1.6079844205915728, 'trop_k_veg': 0.902411054575325}.[0m
  trial  864/2500  pareto_size=45  best_taylor=0.7247  best_ilamb=0.5954  (6.8 min)
[32m[I 2026-07-18 18:54:49,657][0m Trial 864 finished with values: [-2.0000000000000005e-60, 0.0] and parameters: {'k1': 0.01889771394135163, 'D_low': 31.585104499227995, 'k2': 0.0012040762895973265, 'D_high': 146.1896279370497, 'fire_exp': 2.561257322703973, 'P_half': 175.2878790340412, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.10409127568994281, 'gpp_b': 7.007213496896404e-05, 'gpp_d': 150.14555442537656, 'ign_k': 8.708806168038567, 'ign_c': 201.49789847008856, 'trop_agb_crit': 7.599113148200974, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:50,118][0m Trial 865 finished with values: [-0.371670588556265, 0.16446789651779914] and parameters: {'k1': 0.007530210437963516, 'D_low': 4.484744524732794, 'k2': 0.032845299795769396, 'D_high': 45914.85216740541, 'fire_exp': 1.6733848721157607, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.001111693990724459, 'gpp_b': 0.0005744663972188569, 'gpp_d': 21.14381609520636, 'ign_k': 1.3431123753466423, 'ign_c': 1.0623096700264116, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 3.49157152291552}.[0m
[32m[I 2026-07-18 18:54:50,580][0m Trial 866 finished with values: [-5.667036160342682e-05, 0.00014761077242941845] and parameters: {'k1': 0.01889771394135163, 'D_low': 70.18267183720735, 'k2': 0.0007047307383115598, 'D_high': 45914.85216740541, 'fire_exp': 5.113811291218321, 'P_half': 323.6099399575106, 'pre_dampen_half': 0.1875872314533727, 'gpp_af': 0.2901272149738624, 'gpp_b': 1.598364670380439e-05, 'gpp_d': 229.41380323183625, 'ign_k': 2.396079612430075, 'ign_c': 30.28574109895626, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:51,042][0m Trial 867 finished with values: [-0.031313504767497564, 0.0015385227354917097] and parameters: {'k1': 0.01889771394135163, 'D_low': 70.18267183720735, 'k2': 0.00035868164986275477, 'D_high': 8182.111518618414, 'fire_exp': 1.6733848721157607, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.01719951378854337, 'gpp_b': 0.0005623095666134974, 'gpp_d': 21.14381609520636, 'ign_k': 0.6024590664672947, 'ign_c': 5.130551760589832, 'trop_agb_crit': 7.599113148200974, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:51,502][0m Trial 868 finished with values: [-0.02789973786353134, 0.015450332805699074] and parameters: {'k1': 0.004312951023617458, 'D_low': 1.9977959434035766, 'k2': 0.0005342937261279771, 'D_high': 8182.111518618414, 'fire_exp': 6.234638880169447, 'P_half': 175.2878790340412, 'pre_dampen_half': 502.5175192217655, 'gpp_af': 0.7539992074650282, 'gpp_b': 0.0021331409710300844, 'gpp_d': 150.14555442537656, 'ign_k': 3.5891558714508416, 'ign_c': 0.5342106255632174, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:51,960][0m Trial 869 finished with values: [-0.0026667780211285436, 7.261678931580473e-05] and parameters: {'k1': 0.0699458988153545, 'D_low': 1.395216238046901, 'k2': 0.0012040762895973265, 'D_high': 1662.6592254031873, 'fire_exp': 6.234638880169447, 'P_half': 2.5449737887285035, 'pre_dampen_half': 0.010585220389440335, 'gpp_af': 0.008075914984851893, 'gpp_b': 0.0005744663972188569, 'gpp_d': 64.20268021730274, 'ign_k': 5.351470428717439, 'ign_c': 5.130551760589832, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 2.587938629755798}.[0m
[32m[I 2026-07-18 18:54:52,421][0m Trial 870 finished with values: [-3.95742905572421e-05, 1.9765665510984576e-06] and parameters: {'k1': 0.01889771394135163, 'D_low': 4.484744524732794, 'k2': 0.00035868164986275477, 'D_high': 7321.544340709298, 'fire_exp': 1.423480109671474, 'P_half': 712.8188058401365, 'pre_dampen_half': 0.0399066504395798, 'gpp_af': 0.008075914984851893, 'gpp_b': 0.0005744663972188569, 'gpp_d': 0.23073846740741236, 'ign_k': 5.351470428717439, 'ign_c': 30.28574109895626, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 6.9782110227926815}.[0m
[32m[I 2026-07-18 18:54:52,896][0m Trial 871 finished with values: [-0.010773730360261384, 0.0003334625294408866] and parameters: {'k1': 0.01889771394135163, 'D_low': 7.46475488144212, 'k2': 0.0005342937261279771, 'D_high': 2940.51756322311, 'fire_exp': 1.423480109671474, 'P_half': 712.8188058401365, 'pre_dampen_half': 0.32782478097825357, 'gpp_af': 0.020680586423631197, 'gpp_b': 0.0005752434266899163, 'gpp_d': 21.14381609520636, 'ign_k': 5.351470428717439, 'ign_c': 20.03995359361212, 'trop_agb_crit': 1.331177446539379, 'trop_k_veg': 1.3571174947037614}.[0m
[32m[I 2026-07-18 18:54:53,370][0m Trial 872 finished with values: [-2.6950771386915106e-05, 7.198708700473233e-06] and parameters: {'k1': 2.2416664245892614e-05, 'D_low': 31.585104499227995, 'k2': 0.032845299795769396, 'D_high': 3712.591045287733, 'fire_exp': 4.385019211707302, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.0399066504395798, 'gpp_af': 0.01719951378854337, 'gpp_b': 0.0005744663972188569, 'gpp_d': 8.057329182285729, 'ign_k': 1.0484531351650956, 'ign_c': 15.221840161091619, 'trop_agb_crit': 2.1861040860339416, 'trop_k_veg': 3.49157152291552}.[0m
[32m[I 2026-07-18 18:54:53,840][0m Trial 873 finished with values: [-0.048315853964604485, 0.00521906886041934] and parameters: {'k1': 0.01889771394135163, 'D_low': 1.9977959434035766, 'k2': 0.0353875886477924, 'D_high': 8182.111518618414, 'fire_exp': 1.6733848721157607, 'P_half': 175.2878790340412, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.01719951378854337, 'gpp_b': 7.007213496896404e-05, 'gpp_d': 21.14381609520636, 'ign_k': 0.12906379659404604, 'ign_c': 0.891613269954689, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 0.6743482387129308}.[0m
[32m[I 2026-07-18 18:54:54,303][0m Trial 874 finished with values: [-0.017495671769687516, 0.00036016775669933665] and parameters: {'k1': 0.011966626407443505, 'D_low': 1.3577269394141454, 'k2': 0.0353875886477924, 'D_high': 1662.6592254031873, 'fire_exp': 1.423480109671474, 'P_half': 221.2683656611821, 'pre_dampen_half': 0.010585220389440335, 'gpp_af': 0.27997858752477867, 'gpp_b': 0.01666658176842624, 'gpp_d': 660.9129108295722, 'ign_k': 5.595401979134829, 'ign_c': 5.130551760589832, 'trop_agb_crit': 1.0903028125370984, 'trop_k_veg': 6.9782110227926815}.[0m
